"","TreeID","Species","Site_X","Site_Y","Tree_x","Tree_y","Coordinate System/Datum"
"1","A1#1","R. Maple",712370.958093,5090895.98589,712369.641775,5090891.058689,"UTM Zone 15N/WGS 1984"
"2","A1#2","S. Alder",712370.958093,5090895.98589,712371.647208,5090895.128498,NA
"3","A1#3","B. Fir",712370.958093,5090895.98589,712370.889948,5090898.184834,NA
"4","A2#1","R. Maple",712345.899094,5090895.12423,712342.759259,5090898.062161,NA
"5","A2#2","S. Alder",712345.899094,5090895.12423,712346.371723,5090894.754606,NA
"6","A2#3","W. Cedar",712345.899094,5090895.12423,712351.629536,5090896.902441,NA
"7","A3#1","Aspen",712295.78032,5090893.4012,712293.20946,5090891.668954,NA
"8","A3#2","Aspen",712295.78032,5090893.4012,712292.583453,5090893.259623,NA
"9","A3#3","B. Fir",712295.78032,5090893.4012,712299.626199,5090889.46938,NA
"10","A4#1","Aspen",712195.543543,5090889.95639,712195.409121,5090890.224589,NA
"11","A4#2","Aspen",712195.543543,5090889.95639,712194.945083,5090889.155237,NA
"12","A4#3","B. Fir",712195.543543,5090889.95639,712196.360245,5090890.33454,NA
"13","A5#1","Aspen",712170.484543,5090889.09545,712168.540013,5090890.124431,NA
"14","A5#2","Aspen",712170.484543,5090889.09545,712170.576547,5090887.498097,NA
"15","A5#3","B. Fir",712170.484543,5090889.09545,712171.611072,5090891.875906,NA
"16","A6#1","Aspen",712120.365765,5090887.37384,712119.386844,5090886.372983,NA
"17","A6#2","Aspen",712120.365765,5090887.37384,712121.010991,5090887.102393,NA
"18","A6#3","B. Fir",712120.365765,5090887.37384,712120.009701,5090889.138271,NA
"19","A7#1","S. Maple",712020.128983,5090883.93188,712020.117935,5090883.432002,NA
"20","A7#2","Aspen",712020.128983,5090883.93188,712018.581653,5090889.935693,NA
"21","A7#3","B. Fir",712020.128983,5090883.93188,712013.492458,5090881.139652,NA
"22","A8#1","B. Fir",711995.06998,5090883.07165,711996.06998,5090883.07165,NA
"23","A8#2","R. Maple",711995.06998,5090883.07165,711996.009682,5090881.902479,NA
"24","A8#3","R. Maple",711995.06998,5090883.07165,711993.850573,5090883.522258,NA
"25","A9#1","B. Fir",711944.951975,5090881.3515,711940.153667,5090881.224054,NA
"26","A9#2","B. Fir",711944.951975,5090881.3515,711942.630574,5090881.960676,NA
"27","A9#3","S. Maple",711944.951975,5090881.3515,711936.651975,5090881.35125,NA
"28","A10#1","W. Birch",711844.715186,5090877.91238,711843.245781,5090880.97846,NA
"29","A10#2","S. Alder",711844.715186,5090877.91238,711844.609047,5090879.508856,NA
"30","A10#3","W. Cedar",711844.715186,5090877.91238,711840.523987,5090879.808125,NA
"31","A11#1","S. Alder",711819.655407,5090877.05284,711821.553858,5090878.82932,NA
"32","A11#2","W. Birch",711819.655407,5090877.05284,711820.248759,5090879.993577,NA
"33","A11#3","B. Fir",711819.655407,5090877.05284,711821.465702,5090875.32865,NA
"34","A12#1","W. Cedar",711769.537399,5090875.33411,711765.797111,5090872.015941,NA
"35","A12#2","S. Alder",711769.537399,5090875.33411,711770.096346,5090874.91271,NA
"36","A12#3","S. Maple",711769.537399,5090875.33411,711765.374235,5090877.042345,NA
"37","B1#1","W. Cedar",712371.817008,5090871.00802,712371.308077,5090867.7475,NA
"38","B1#2","R. Maple",712371.817008,5090871.00802,712374.158502,5090871.534711,NA
"39","B1#3","R. Maple",712371.817008,5090871.00802,712375.617621,5090873.019324,NA
"40","B2#1","S. Alder",712346.757907,5090870.14636,712348.224207,5090869.830188,NA
"41","B2#2","R. Maple",712346.757907,5090870.14636,712344.478151,5090871.772003,NA
"42","B2#3","B. Fir",712346.757907,5090870.14636,712349.814186,5090870.665163,NA
"43","B3#1","B. Fir",712296.63893,5090868.42333,712296.237966,5090867.292301,NA
"44","B3#2","Aspen",712296.63893,5090868.42333,712299.376672,5090870.603873,NA
"45","B3#3","Aspen",712296.63893,5090868.42333,712299.308445,5090870.187895,NA
"46","B4#1","Aspen",712196.401747,5090864.97852,712196.589346,5090865.04785,NA
"47","B4#2","Aspen",712196.401747,5090864.97852,712198.528818,5090866.79939,NA
"48","B4#3","B. Fir",712196.401747,5090864.97852,712195.658104,5090868.090914,NA
"49","B5#1","Aspen",712171.342645,5090864.11758,712171.782953,5090862.579357,NA
"50","B5#2","Aspen",712171.342645,5090864.11758,712169.677379,5090864.800874,NA
"51","B5#3","B. Fir",712171.342645,5090864.11758,712169.513267,5090863.08638,NA
"52","B6#1","B. Fir",712121.223664,5090862.39597,712121.540324,5090862.782915,NA
"53","B6#2","Aspen",712121.223664,5090862.39597,712121.378921,5090859.700438,NA
"54","B6#3","S. Maple",712121.223664,5090862.39597,712123.063661,5090866.937381,NA
"55","B7#1","Aspen",712020.986476,5090858.95401,712018.727245,5090857.883553,NA
